"Qty","Reference","Value","Datasheet","Footprint","Manufacturer","Manufacturer Part Number","Mouser","TME","TME addon"
"15","C201,C204,C205,C206,C207,C209,C215,C216,C217,C218,C219,C223,C303,C503,C603","100n","~","Capacitor_SMD:C_0402_1005Metric","Samsung Electro-Mechanics","CL05B104JO5NNNC","https://www.mouser.pl/ProductDetail/Samsung-Electro-Mechanics/CL05B104JO5NNNC?qs=X6jEic%2FHinBQuzCETW%2FVcw%3D%3D","",""
"5","C202,C203,C208,C210,C220","10u","~","Capacitor_SMD:C_0402_1005Metric","Murata Electronics","GRM155R61A106ME11J","https://www.mouser.pl/ProductDetail/Murata-Electronics/GRM155R61A106ME11J?qs=xZ%2FP%252Ba9zWqYqQ%2Fc%2FSDBphQ%3D%3D","",""
"2","C211,C212","3p3","~","Capacitor_SMD:C_0402_1005Metric","Walsin","0402N3R3D500CT","https://www.mouser.pl/ProductDetail/Walsin/0402N3R3D500CT?qs=ZrPdAQfJ6DOpa%252B7IBBFXuw%3D%3D","",""
"2","C213,C214","12p","~","Capacitor_SMD:C_0402_1005Metric","Murata Electronics","GRM1555C1H120JA01D","https://www.mouser.pl/ProductDetail/Murata-Electronics/GRM1555C1H120JA01D?qs=to8XolpOzrOCHudLswyzbw%3D%3D","",""
"2","C221,C222","20p","~","Capacitor_SMD:C_0402_1005Metric","Walsin","0402N200J160CT","https://www.mouser.pl/ProductDetail/Walsin/0402N200J160CT?qs=ZrPdAQfJ6DMgXpTHiVt4Bw%3D%3D","",""
"3","C301,C501,C601","47n","~","Capacitor_SMD:C_0402_1005Metric","Murata Electronics","GRT155R71E473KE01D","https://www.mouser.pl/ProductDetail/Murata-Electronics/GRT155R71E473KE01D?qs=qkDYIeTQ%252BEnvc93AN1uPig%3D%3D","",""
"9","C302,C305,C306,C502,C506,C507,C602,C605,C606","1u","~","Capacitor_SMD:C_0402_1005Metric","Murata Electronics","GRM155R61E105KA12J","https://www.mouser.pl/ProductDetail/Murata-Electronics/GRM155R61E105KA12J?qs=hNud%2FORuBR3DHuML3LLegw%3D%3D","",""
"9","C304,C308,C401,C403,C404,C504,C505,C604,C608","10u","~","Capacitor_SMD:C_1206_3216Metric","Samsung Electro-Mechanics","CL31B106KAHNFNE","https://www.mouser.pl/ProductDetail/Samsung-Electro-Mechanics/CL31B106KAHNFNE?qs=xZ%2FP%252Ba9zWqbvZ%2FuLWvQDdQ%3D%3D","",""
"1","C402","3.3n","~","Capacitor_SMD:C_0402_1005Metric","Wurth Elektronik","885012205047","https://www.mouser.pl/ProductDetail/Wurth-Elektronik/885012205047?qs=0KOYDY2FL2%252BET2lZ5U3%252BUg%3D%3D","",""
"3","D301,D501,D601","FAULT","~","LED_SMD:LED_0603_1608Metric","ROHM Semiconductor","SML-D12U1WT86","https://www.mouser.pl/ProductDetail/ROHM-Semiconductor/SML-D12U1WT86?qs=M3jcYzEJUdEySuGkbjHEtQ%3D%3D","",""
"1","D401","3V3","~","LED_SMD:LED_0603_1608Metric","Lite-On"," LTST-C190GKT","https://www.mouser.pl/ProductDetail/Lite-On/LTST-C190GKT?qs=drxkyCeiWgbQzclgbojDOg%3D%3D","",""
"1","D402","VIN","~","LED_SMD:LED_0603_1608Metric","Lite-On"," LTST-C190GKT","https://www.mouser.pl/ProductDetail/Lite-On/LTST-C190GKT?qs=drxkyCeiWgbQzclgbojDOg%3D%3D","",""
"1","J201","USB4105-GF-A","https://www.mouser.pl/datasheet/2/837/Global_Connector_Technology_usb4105-3106202.pdf","USB4105-GF-A:GCT_USB4105-GF-A","GCT","USB4105-GF-A-120","https://www.mouser.pl/ProductDetail/GCT/USB4105-GF-A-120?qs=QNEnbhJQKva%252Bjxw%2FpEjDhQ%3D%3D","",""
"1","J202","Molex_0530470810","https://www.tme.eu/Document/f8f78d18d800f08aedb247ee6832d80d/mx53047.pdf","Molex_0530470810:MOLEX_0530470810","Molex","0530470810","","https://www.tme.eu/pl/details/mx-53047-0810/zlacza-sygnalowe-raster-1-25mm/molex/53047-0810/",""
"1","J203","SWD","~","A1001WV-S-6P:A1001WV-S-6P","JOINT TECH","A1001WV-S-6P","","https://www.tme.eu/pl/details/nx1001-06sms/zlacza-sygnalowe-raster-1-00mm/joint-tech/a1001wv-s-6p/",""
"1","J204","Antena connector","https://www.mouser.pl/datasheet/2/418/9/ENG_DS_conmhf1_smd_g_t_ds_A1-3238956.pdf","CONMHF1-SMD-G-T:LINX_CONMHF1-SMD-G-T","","","https://www.mouser.pl/ProductDetail/TE-Connectivity-Linx-Technologies/CONMHF1-SMD-G-T?qs=7D1LtPJG0i0JqNJVGTgWfg%3D%3D","",""
