"Qty","Reference","Value","Footprint","Manufacturer","Manufacturer Part Number","Mouser","TME"
"1","J201","USB4105-GF-A","USB4105-GF-A:GCT_USB4105-GF-A","","","https://www.mouser.pl/ProductDetail/GCT/USB4105-GF-A-120?qs=QNEnbhJQKva%252Bjxw%2FpEjDhQ%3D%3D",""
"1","TP201","INT2_ACC_TP","TEST_POINT:test_point_SMD_0.5mm","","","",""
"1","TP202","INT1_GYR_TP","TEST_POINT:test_point_SMD_0.5mm","","","",""
"1","TP203","IMU_NCS_TP","TEST_POINT:test_point_SMD_0.5mm","","","",""
"1","TP204","FSPI_CLK_TP","TEST_POINT:test_point_SMD_0.5mm","","","",""
"1","TP205","FSPI_D_TP","TEST_POINT:test_point_SMD_0.5mm","","","",""
"1","TP206","FSPI_Q_TP","TEST_POINT:test_point_SMD_0.5mm","","","",""
"3","TP207,TP208,TP209","GND_TP","TEST_POINT:test_point_THT 0.7mm","","","",""
"1","SW201","EN","RKB2SJM250SMTR_LFS:SW4_PTS815 SJM 250 SMTR LFS_CNK","C&K"," RKB2SJM250SMTR LFS","https://www.mouser.pl/ProductDetail/CK/RKB2SJM250SMTR-LFS?qs=iLbezkQI%252Bsj518EgFgehgw%3D%3D",""
"1","SW202","BOOT","RKB2SJM250SMTR_LFS:SW4_PTS815 SJM 250 SMTR LFS_CNK","C&K"," RKB2SJM250SMTR LFS","https://www.mouser.pl/ProductDetail/CK/RKB2SJM250SMTR-LFS?qs=iLbezkQI%252Bsj518EgFgehgw%3D%3D",""
"1","X201","XRCGB40M000F4M02R0","XRCGB40M000F4M02R0:OSC_XRCGB40M000F4M02R0","Murata Electronics"," XRCGB40M000F4M02R0","https://www.mouser.pl/ProductDetail/Murata-Electronics/XRCGB40M000F4M02R0?qs=rrS6PyfT74fAOGFgWWmGFg%3D%3D",""
"2","C218,C219","3p3/50V","Capacitor_SMD:C_0402_1005Metric","Walsin","0402N3R3D500CT","https://www.mouser.pl/ProductDetail/Walsin/0402N3R3D500CT?qs=ZrPdAQfJ6DOpa%252B7IBBFXuw%3D%3D",""
"1","D301","CHRG_B","LED_SMD:LED_0603_1608Metric","Wurth Elektronik","150060BS55040","https://www.mouser.pl/ProductDetail/Wurth-Elektronik/150060BS55040?qs=fAHHVMwC%252BbiEgEQkEQqtiA%3D%3D",""
"1","D302","PGOOD_B","LED_SMD:LED_0603_1608Metric","Wurth Elektronik","150060BS55040","https://www.mouser.pl/ProductDetail/Wurth-Elektronik/150060BS55040?qs=fAHHVMwC%252BbiEgEQkEQqtiA%3D%3D",""
"1","D303","3V3_G","LED_SMD:LED_0603_1608Metric","Wurth Elektronik","150060GS55040","https://www.mouser.pl/ProductDetail/Wurth-Elektronik/150060GS55040?qs=fAHHVMwC%252Bbhr5Aln2oA6Nw%3D%3D",""
"1","D304","5V_G","LED_SMD:LED_0603_1608Metric","Wurth Elektronik","150060GS55040","https://www.mouser.pl/ProductDetail/Wurth-Elektronik/150060GS55040?qs=fAHHVMwC%252Bbhr5Aln2oA6Nw%3D%3D",""
"1","D201","STATUS_Y","LED_SMD:LED_0603_1608Metric","Wurth Elektronik","150060YS55040","https://www.mouser.pl/ProductDetail/Wurth-Elektronik/150060YS55040?qs=8Aam6%252B7C6HFRKfAQmHjhWw%3D%3D",""
"1","BT301","BAT","SM02B-SRSS-TB_LF__SN_:SM02B-SRSS-TB_LF__SN_","CELLEVIA BATTERIES","ACCU-LP542439/CL","","https://www.tme.eu/pl/details/accu-lp542439_cl/akumulatory/cellevia-batteries/"
"1","U301","BQ24075TRGTR","BQ24075TRGTR:BQ24075TRGTR","Texas Instruments","BQ24075TRGTR","https://www.mouser.pl/ProductDetail/Texas-Instruments/BQ24075TRGTR?qs=%2Fqzd9s%252BcLd4uxZAT5jNskQ%3D%3D",""
"11","C202,C203,C204,C205,C207,C211,C213,C215,C216,C217,C302","100n/16V","Capacitor_SMD:C_0402_1005Metric","Samsung Electro-Mechanics","CL05B104JO5NNNC","https://www.mouser.pl/ProductDetail/Samsung-Electro-Mechanics/CL05B104JO5NNNC?qs=X6jEic%2FHinBQuzCETW%2FVcw%3D%3D",""
"5","C301,C303,C304,C305,C306","10u/25V","Capacitor_SMD:C_1206_3216Metric","Samsung Electro-Mechanics","CL31B106KAHNFNE","https://www.mouser.pl/ProductDetail/Samsung-Electro-Mechanics/CL31B106KAHNFNE?qs=xZ%2FP%252Ba9zWqbvZ%2FuLWvQDdQ%3D%3D",""
"1","U201","ESP32C3","ESP32C3:QFN32_5X5MM_ESP32C3","Espressif Systems","ESP32-C3","https://www.mouser.pl/ProductDetail/Espressif-Systems/ESP32-C3?qs=iLbezkQI%252BsiMXe7tMG%252Bo%2FA%3D%3D",""
"2","C209,C210","12p/50V","Capacitor_SMD:C_0402_1005Metric","Murata Electronics","GRM1555C1H120JA01D","https://www.mouser.pl/ProductDetail/Murata-Electronics/GRM1555C1H120JA01D?qs=to8XolpOzrOCHudLswyzbw%3D%3D",""
"6","C201,C206,C208,C212,C214,C307","10u/10V","Capacitor_SMD:C_0402_1005Metric","Murata Electronics","GRM155R61A106ME11J","https://www.mouser.pl/ProductDetail/Murata-Electronics/GRM155R61A106ME11J?qs=xZ%2FP%252Ba9zWqYqQ%2Fc%2FSDBphQ%3D%3D",""
"2","L201,L202","2.2nH","Inductor_SMD:L_0402_1005Metric","Murata Electronics","LQG15HN2N2S02D","https://www.mouser.pl/ProductDetail/Murata-Electronics/LQG15HN2N2S02D?qs=sGAEpiMZZMv126LJFLh8y5LVC3CNxI09USQ44%252Bay%2FYU%3D",""
"1","U204","LSM6DSMTR","LSM6DSMTR:PQFN50P300X250X86-14N_LSM6DSMTR","STMicroelectronics","LSM6DSMTR","https://www.mouser.pl/ProductDetail/STMicroelectronics/LSM6DSMTR?qs=dTJS0cRn7ogKkf7uVmbVmg%3D%3D",""
"1","L301","2.2uH","Inductor_SMD:L_Abracon_ASPI-3012S","TAIYO YUDEN","NRH3012T2R2MNV","https://www.mouser.pl/ProductDetail/TAIYO-YUDEN/NRH3012T2R2MNV?qs=DpxmIIQLg%252BPrRTgrX4z9SA%3D%3D",""
"9","R201,R205,R206,R207,R308,R309,R312,R313,R314","0R","Resistor_SMD:R_0402_1005Metric","YAGEO","RC0402JR-070RP","https://www.mouser.pl/ProductDetail/YAGEO/RC0402JR-070RP?qs=sGAEpiMZZMtlubZbdhIBINt%2Ft6Hry3%2FBkzFf99agDSE%3D",""
"2","R301,R315","100R","Resistor_SMD:R_0402_1005Metric","YAGEO","RC0402JR-07100RP","https://www.mouser.pl/ProductDetail/YAGEO/RC0402JR-07100RP?qs=oypCK0zG327dOPz2698Mug%3D%3D",""
"1","R311","3.2k","Resistor_SMD:R_0402_1005Metric","YAGEO","RT0402DRE073K2L","https://www.mouser.pl/ProductDetail/YAGEO/RT0402DRE073K2L?qs=sGAEpiMZZMvdGkrng054twU%252BIGYcbih3ZIG4YLmJhDaobAi8Ih5j5Q%3D%3D",""
"4","R208,R306,R307,R316","1k","Resistor_SMD:R_0402_1005Metric","YAGEO","RT0402FRE071KL","https://www.mouser.pl/ProductDetail/YAGEO/RT0402FRE071KL?qs=sGAEpiMZZMvdGkrng054t%252BKCHBXLTLydN%2F0aMv8%252B%252Bbw%3D",""
"1","R310","1.8k","Resistor_SMD:R_0402_1005Metric","YAGEO","RT0402FRE071K8L","https://www.mouser.pl/ProductDetail/YAGEO/RT0402FRE071K8L?qs=sGAEpiMZZMvdGkrng054t%252BSYh%252B1gqt95YMLSYAXCfag%3D",""
"7","R202,R203,R204,R210,R211,R212,R213","5k1","Resistor_SMD:R_0402_1005Metric","YAGEO","RT0402FRE075K1L","https://www.mouser.pl/ProductDetail/YAGEO/RT0402FRE075K1L?qs=sGAEpiMZZMvdGkrng054t%252BSYh%252B1gqt956ckdaAkf6p8%3D",""
"1","U302","TPS63001DRCR","TPS63001DRCR:VREG_V62_16624-01YE_TPS63001DRCR","Texas Instruments","TPS63001DRCR","https://www.mouser.pl/ProductDetail/Texas-Instruments/TPS63001DRCR?qs=QZuYiDxzHagn01UZf%2F%252B1Bw%3D%3D",""
"1","U203","USBLC6-2SC6","USBLC6-2SC6:SOT95P280X145-6N","STMicroelectronics","USBLC6-2SC6","https://www.mouser.pl/ProductDetail/STMicroelectronics/USBLC6-2SC6?qs=po45yt2pPpu%2FhNIlwQdTlg%3D%3D",""
"1","U202","W25Q16JVZPIQ","W25Q16JVZPIQ:SON127P500X600X80-9N","Winbond","W25Q16JVZPIQ","https://www.mouser.pl/ProductDetail/Winbond/W25Q16JVZPIQ?qs=qSfuJ%252Bfl%2Fd5j0dm6nxuK%252BA%3D%3D",""
"4","R302,R303,R304,R305","100k","Resistor_SMD:R_0402_1005Metric","Walsin","WR04X104 JTL","https://www.mouser.pl/ProductDetail/Walsin/WR04X104-JTL?qs=1w%252B2sDiFrrF3PzIH6ZC8tw%3D%3D",""
